T_mu,σ,ω₀,n_B,P,ϵ
"(59.49579831932773, 511.79020697643614)",92.90884786156333,0.03305654846369513,0.00037544540681377583,0.02226102668530392,0.16988825577627067
"(60.50420168067227, 511.79020697643614)",92.89467191386447,0.03831818922798824,0.0004352053923254957,0.02622991950301936,0.19650393831250718
"(61.5126050420168, 511.79020697643614)",92.87883082334322,0.04422861280229275,0.0005023340396412795,0.0307653408977365,0.22632430122158323
"(62.52100840336135, 511.79020697643614)",92.86119817203858,0.050844305134158024,0.0005774728975780016,0.0359279694407944,0.25961700433393337
"(63.529411764705884, 511.79020697643614)",92.84164486766689,0.058224547234557195,0.0006612952603637513,0.04178276665399509,0.2966616715201054
"(64.53781512605042, 511.79020697643614)",92.82003966648763,0.06643143667671457,0.0007545064118144515,0.04839911157870009,0.3377498810888662
"(65.54621848739495, 511.79020697643614)",92.79624972583618,0.0755299063056436,0.0008578438378305713,0.05585093301640678,0.3831851423003616
"(66.5546218487395, 511.79020697643614)",92.77014118051017,0.08558773904252691,0.0009720773945406572,0.06421683881150861,0.43328285213756906
"(67.56302521008404, 511.79020697643614)",92.74157973610357,0.0966755788598493,0.0010980094329526315,0.07358024263548868,0.48837023231741794
"(68.57142857142857, 511.79020697643614)",92.71043127153504,0.10886693657620015,0.0012364748647703126,0.08402948765231145,0.5487862393096476
"(69.57983193277312, 511.79020697643614)",92.67656244257526,0.12223818978074441,0.0013883411615345884,0.09565796707879004,0.6148814433369026
"(70.58823529411765, 511.79020697643614)",92.63984127770814,0.13686857587104337,0.0015545082755497608,0.10856424101299122,0.6870178710772037
"(71.59663865546219, 511.79020697643614)",92.6001377570061,0.15284017718479076,0.0017359084710145958,0.1228521495584814,0.7655688061142274
"(72.60504201680672, 511.79020697643614)",92.55732436511458,0.17023789719399574,0.0019335060536437092,0.13863092132889296,0.8509185420556132
"(73.61344537815127, 511.79020697643614)",92.51127660952584,0.18914942676157448,0.002148296987420966,0.15601527733641068,0.9434620825026196
"(74.6218487394958, 511.79020697643614)",92.46187349582118,0.2096651995288249,0.0023813083879051554,0.1751255292899482,1.0436047834307547
"(75.63025210084034, 511.79020697643614)",92.40899795246902,0.23187833560523693,0.0026335978826773597,0.19608767206072916,1.1517619334074207
"(76.63865546218487, 511.79020697643614)",92.3525371949431,0.25588457291779615,0.0029062528321007045,0.21903346955627,1.2683582689104034
"(77.64705882352942, 511.79020697643614)",92.29238304792649,0.28178218540809485,0.0032003893982558203,0.24410053342646817,1.3938274191120699
"(78.65546218487395, 511.79020697643614)",92.22843216169288,0.3096718884641045,0.003517151473659901,0.2714323941525995,1.5286112865192785
"(79.66386554621849, 511.79020697643614)",92.16058619258905,0.3396567306472629,0.0038577094509105532,0.30117856373490115,1.6731593546015648
"(80.67226890756304, 511.79020697643614)",92.08875192294143,0.37184197198543495,0.004223258837865804,0.33349458964870093,1.827927925097702
"(81.68067226890757, 511.79020697643614)",92.01284127638539,0.4063349498712351,0.004615018737640464,0.36854209948783156,1.9933792954493121
"(82.6890756302521, 511.79020697643614)",91.93277129961011,0.4432449321295606,0.00503423017815345,0.4064888360329371,2.169980868811238
"(83.69747899159664, 511.79020697643614)",91.84846406719835,0.48268295869165884,0.005482154314661559,0.4475086821528601,2.358204209224542
"(84.70588235294119, 511.79020697643614)",91.75984653694796,0.5247616724918452,0.005960070508430629,0.49178167555921715,2.5585240435446472
