T_mu,σ,ω₀,n_B,P,ϵ
"(44.36974789915966, 538.9971164872729)",92.99064735104093,0.003283453825147,3.729238881206711e-5,0.001653832832742468,0.018446657203883943
"(45.3781512605042, 538.9971164872729)",92.98817722176862,0.004158254429470476,4.722808636911785e-5,0.0021418127896945045,0.023313989580471896
"(46.38655462184874, 538.9971164872729)",92.985195492202,0.005216789373453328,5.925057866303561e-5,0.0027463778873401557,0.02918951316223838
"(47.39495798319327, 538.9971164872729)",92.98162600392608,0.006487314049363612,7.368077962124507e-5,0.003488940125723325,0.03622478763066199
"(48.403361344537814, 538.9971164872729)",92.97738546600428,0.00800077918409081,9.087021892250347e-5,0.004393647290553227,0.044585138683243375
"(49.41176470588235, 538.9971164872729)",92.97238425617472,0.00979090718807143,0.00011120190411443301,0.0054875685047262686,0.05444993716084734
"(50.42016806722689, 538.9971164872729)",92.96652599862588,0.011894260991820756,0.00013509110578497935,0.006800878150380371,0.06601283833080065
"(51.42857142857142, 538.9971164872729)",92.95970803304445,0.014350305367421717,0.0001629860502353844,0.008367037406574544,0.07948197369794746
"(52.436974789915965, 538.9971164872729)",92.95182121308109,0.01720146228079345,0.0001953685518891394,0.010222973204123362,0.09508011291641694
"(53.445378151260506, 538.9971164872729)",92.94275015064893,0.020493160582812538,0.00023275457872939197,0.012409254299446417,0.1130447924849058
"(54.45378151260504, 538.9971164872729)",92.93237383537608,0.024273880516987423,0.00027569475245302805,0.014970264120513055,0.13362841248234156
"(55.46218487394958, 538.9971164872729)",92.92056570395012,0.028595194711741843,0.0003247748180140745,0.017954370487406748,0.15709831992985826
"(56.470588235294116, 538.9971164872729)",92.90719411335276,0.03351180540632051,0.00038061606545701857,0.021414091934814153,0.18373686983524998
"(57.47899159663866, 538.9971164872729)",92.89212280324035,0.03908157869465207,0.0004438757188474724,0.02540626091347804,0.21384147162402503
"(58.48739495798319, 538.9971164872729)",92.87521104291007,0.04536557695694972,0.0005152473172028958,0.029992183532010625,0.24772463471815348
"(59.49579831932773, 538.9971164872729)",92.85631601497089,0.052428082888056074,0.0005954609260673631,0.035237796153591225,0.28571392597755874
"(60.50420168067227, 538.9971164872729)",92.83528993184578,0.06033663450992219,0.0006852836530780326,0.041213818854871395,0.3281520941300529
"(61.5126050420168, 538.9971164872729)",92.8119839898117,0.06916203918253874,0.0007855196971177154,0.04799590536044906,0.3753969463299555
"(62.52100840336135, 538.9971164872729)",92.78624759602049,0.07897839613310743,0.000897010652813382,0.05566478984861092,0.4278213654761683
"(63.529411764705884, 538.9971164872729)",92.75792937576647,0.08986310951826613,0.001020635647954519,0.06430643029954539,0.4858132409320598
"(64.53781512605042, 538.9971164872729)",92.72687778693385,0.10189689713228653,0.001157311448861905,0.07401214798275504,0.5497753858315199
"(65.54621848739495, 538.9971164872729)",92.6929418852457,0.11516379168263616,0.0013079924756924498,0.08487876319426083,0.620125409591019
"(66.5546218487395, 538.9971164872729)",92.65597227160286,0.1297511324094439,0.0014736706932822461,0.09700872645977078,0.6972955278711602
"(67.56302521008404, 538.9971164872729)",92.615821529585,0.14574954982967667,0.0016553754572668873,0.11051024502185068,0.7817323531488024
"(68.57142857142857, 538.9971164872729)",92.57234513869314,0.1632529362595531,0.00185417316435279,0.12549740392023653,0.8738965851339997
"(69.57983193277312, 538.9971164872729)",92.52540202983322,0.18235840561962532,0.0020711668033906623,0.14209028109470198,0.9742626536970277
"(70.58823529411765, 538.9971164872729)",92.4748552474556,0.2031662380885326,0.002307495321799004,0.16041505580720786,1.0833182689503273
"(71.59663865546219, 538.9971164872729)",92.42057223782689,0.22577981266547043,0.002564332890303945,0.18060410952714406,1.2015639240601568
